,Date,Last Price
698,2010-11-23,20.63
699,2010-11-24,19.56
700,2010-11-26,22.22
701,2010-11-29,21.53
702,2010-11-30,23.54
703,2010-12-01,21.36
704,2010-12-02,19.39
705,2010-12-03,18.01
706,2010-12-06,18.02
707,2010-12-07,17.99
708,2010-12-08,17.74
709,2010-12-09,17.25
710,2010-12-10,17.61
711,2010-12-13,17.55
712,2010-12-14,17.61
713,2010-12-15,17.94
714,2010-12-16,17.39
715,2010-12-17,16.11
716,2010-12-20,16.41
717,2010-12-21,16.49
718,2010-12-22,15.45
719,2010-12-23,16.47
720,2010-12-27,17.67
721,2010-12-28,17.52
722,2010-12-29,17.28
723,2010-12-30,17.52
724,2010-12-31,17.75
725,2011-01-03,17.61
726,2011-01-04,17.38
727,2011-01-05,17.02
728,2011-01-06,17.4
729,2011-01-07,17.14
730,2011-01-10,17.54
731,2011-01-11,16.89
732,2011-01-12,16.24
733,2011-01-13,16.39
734,2011-01-14,15.46
735,2011-01-18,15.87
736,2011-01-19,17.31
737,2011-01-20,17.99
738,2011-01-21,18.47
739,2011-01-24,17.65
740,2011-01-25,17.59
741,2011-01-26,16.64
742,2011-01-27,16.15
743,2011-01-28,20.04
744,2011-01-31,19.53
745,2011-02-01,17.63
746,2011-02-02,17.3
747,2011-02-03,16.69
748,2011-02-04,15.93
749,2011-02-07,16.28
750,2011-02-08,15.81
751,2011-02-09,15.87
752,2011-02-10,16.09
753,2011-02-11,15.69
754,2011-02-14,15.95
755,2011-02-15,16.37
756,2011-02-16,16.72
757,2011-02-17,16.59
758,2011-02-18,16.43
759,2011-02-22,20.8
760,2011-02-23,22.13
761,2011-02-24,21.32
762,2011-02-25,19.22
763,2011-02-28,18.35
764,2011-03-01,21.01
765,2011-03-02,20.7
766,2011-03-03,18.6
767,2011-03-04,19.06
768,2011-03-07,20.66
769,2011-03-08,19.82
770,2011-03-09,20.22
771,2011-03-10,21.88
772,2011-03-11,20.08
773,2011-03-14,21.13
774,2011-03-15,24.32
775,2011-03-16,29.4
776,2011-03-17,26.37
777,2011-03-18,24.44
778,2011-03-21,20.61
779,2011-03-22,20.21
780,2011-03-23,19.17
781,2011-03-24,18.0
782,2011-03-25,17.91
783,2011-03-28,19.44
784,2011-03-29,18.16
785,2011-03-30,17.71
786,2011-03-31,17.74
787,2011-04-01,17.4
788,2011-04-04,17.5
789,2011-04-05,17.25
790,2011-04-06,16.9
791,2011-04-07,17.11
792,2011-04-08,17.87
793,2011-04-11,16.59
794,2011-04-12,17.09
795,2011-04-13,16.92
796,2011-04-14,16.27
797,2011-04-15,15.32
798,2011-04-18,16.96
799,2011-04-19,15.83
800,2011-04-20,15.07
801,2011-04-21,14.69
802,2011-04-25,15.77
803,2011-04-26,15.62
804,2011-04-27,15.35
805,2011-04-28,14.62
806,2011-04-29,14.75
807,2011-05-02,15.99
808,2011-05-03,16.7
809,2011-05-04,17.08
810,2011-05-05,18.2
811,2011-05-06,18.4
812,2011-05-09,17.16
813,2011-05-10,15.91
814,2011-05-11,16.95
815,2011-05-12,16.03
816,2011-05-13,17.07
817,2011-05-16,18.24
818,2011-05-17,17.55
819,2011-05-18,16.23
820,2011-05-19,15.52
821,2011-05-20,17.43
822,2011-05-23,18.27
823,2011-05-24,17.82
824,2011-05-25,17.07
825,2011-05-26,16.09
826,2011-05-27,15.98
827,2011-05-31,15.45
828,2011-06-01,18.3
829,2011-06-02,18.09
830,2011-06-03,17.95
831,2011-06-06,18.49
832,2011-06-07,18.07
833,2011-06-08,18.79
834,2011-06-09,17.77
835,2011-06-10,18.86
836,2011-06-13,19.61
837,2011-06-14,18.26
838,2011-06-15,21.32
839,2011-06-16,22.73
840,2011-06-17,21.85
841,2011-06-20,19.99
842,2011-06-21,18.86
843,2011-06-22,18.52
844,2011-06-23,19.29
845,2011-06-24,21.1
846,2011-06-27,20.56
847,2011-06-28,19.17
848,2011-06-29,17.27
849,2011-06-30,16.52
850,2011-07-01,15.87
851,2011-07-05,16.06
852,2011-07-06,16.34
853,2011-07-07,15.95
854,2011-07-08,15.95
855,2011-07-11,18.39
856,2011-07-12,19.87
857,2011-07-13,19.91
858,2011-07-14,20.8
859,2011-07-15,19.53
860,2011-07-18,20.95
861,2011-07-19,19.21
862,2011-07-20,19.09
863,2011-07-21,17.56
864,2011-07-22,17.52
865,2011-07-25,19.35
866,2011-07-26,20.23
867,2011-07-27,22.98
868,2011-07-28,23.74
869,2011-07-29,25.25
870,2011-08-01,23.66
871,2011-08-02,24.79
872,2011-08-03,23.38
873,2011-08-04,31.66
874,2011-08-05,32.0
875,2011-08-08,48.0
876,2011-08-09,35.06
877,2011-08-10,42.99
878,2011-08-11,39.0
879,2011-08-12,36.36
880,2011-08-15,31.87
881,2011-08-16,32.85
882,2011-08-17,31.58
883,2011-08-18,42.67
884,2011-08-19,43.05
885,2011-08-22,42.44
886,2011-08-23,36.27
887,2011-08-24,35.9
888,2011-08-25,39.76
889,2011-08-26,35.59
890,2011-08-29,32.28
891,2011-08-30,32.89
892,2011-08-31,31.62
893,2011-09-01,31.82
894,2011-09-02,33.92
895,2011-09-06,37.0
896,2011-09-07,33.38
897,2011-09-08,34.32
898,2011-09-09,38.52
899,2011-09-12,38.59
900,2011-09-13,36.91
901,2011-09-14,34.6
902,2011-09-15,31.97
903,2011-09-16,30.98
904,2011-09-19,32.73
905,2011-09-20,32.86
906,2011-09-21,37.32
907,2011-09-22,41.35
908,2011-09-23,41.25
909,2011-09-26,39.02
910,2011-09-27,37.71
911,2011-09-28,41.08
912,2011-09-29,38.84
913,2011-09-30,42.96
914,2011-10-03,45.45
915,2011-10-04,40.82
916,2011-10-05,37.81
917,2011-10-06,36.27
918,2011-10-07,36.2
919,2011-10-10,33.02
920,2011-10-11,32.86
921,2011-10-12,31.26
922,2011-10-13,30.7
923,2011-10-14,28.24
924,2011-10-17,33.39
925,2011-10-18,31.56
926,2011-10-19,34.44
927,2011-10-20,34.78
928,2011-10-21,31.32
929,2011-10-24,29.26
930,2011-10-25,32.22
931,2011-10-26,29.86
932,2011-10-27,25.46
933,2011-10-28,24.53
934,2011-10-31,29.96
935,2011-11-01,34.77
936,2011-11-02,32.74
937,2011-11-03,30.5
938,2011-11-04,30.16
939,2011-11-07,29.85
940,2011-11-08,27.48
941,2011-11-09,36.16
942,2011-11-10,32.81
943,2011-11-11,30.04
944,2011-11-14,31.13
945,2011-11-15,31.22
946,2011-11-16,33.51
947,2011-11-17,34.51
948,2011-11-18,32.0
949,2011-11-21,32.91
950,2011-11-22,31.97
951,2011-11-23,33.98
952,2011-11-25,34.47
953,2011-11-28,32.13
954,2011-11-29,30.64
955,2011-11-30,27.8
956,2011-12-01,27.41
957,2011-12-02,27.52
958,2011-12-05,27.84
959,2011-12-06,28.13
960,2011-12-07,28.67
961,2011-12-08,30.59
962,2011-12-09,26.38
963,2011-12-12,25.67
964,2011-12-13,25.41
965,2011-12-14,26.04
966,2011-12-15,25.11
967,2011-12-16,24.29
968,2011-12-19,24.92
969,2011-12-20,23.22
970,2011-12-21,21.43
971,2011-12-22,21.16
972,2011-12-23,20.73
973,2011-12-27,21.91
974,2011-12-28,23.52
975,2011-12-29,22.65
976,2011-12-30,23.4
977,2012-01-03,22.97
978,2012-01-04,22.22
979,2012-01-05,21.48
980,2012-01-06,20.63
981,2012-01-09,21.07
982,2012-01-10,20.69
983,2012-01-11,21.05
984,2012-01-12,20.47
985,2012-01-13,20.91
986,2012-01-17,22.2
987,2012-01-18,20.89
988,2012-01-19,19.87
989,2012-01-20,18.28
990,2012-01-23,18.67
991,2012-01-24,18.91
992,2012-01-25,18.31
993,2012-01-26,18.57
994,2012-01-27,18.53
995,2012-01-30,19.4
996,2012-01-31,19.44
997,2012-02-01,18.55
998,2012-02-02,17.98
999,2012-02-03,17.1
1000,2012-02-06,17.76
1001,2012-02-07,17.65
1002,2012-02-08,18.16
1003,2012-02-09,18.63
1004,2012-02-10,20.79
1005,2012-02-13,19.04
1006,2012-02-14,19.54
1007,2012-02-15,21.14
1008,2012-02-16,19.22
1009,2012-02-17,17.78
1010,2012-02-21,18.19
1011,2012-02-22,18.19
1012,2012-02-23,16.8
1013,2012-02-24,17.31
1014,2012-02-27,18.19
1015,2012-02-28,17.96
1016,2012-02-29,18.43
1017,2012-03-01,17.26
1018,2012-03-02,17.29
1019,2012-03-05,18.05
1020,2012-03-06,20.87
1021,2012-03-07,19.07
1022,2012-03-08,17.95
1023,2012-03-09,17.11
1024,2012-03-12,15.64
1025,2012-03-13,14.8
1026,2012-03-14,15.31
1027,2012-03-15,15.42
1028,2012-03-16,14.47
1029,2012-03-19,15.04
1030,2012-03-20,15.58
1031,2012-03-21,15.13
1032,2012-03-22,15.57
1033,2012-03-23,14.82
1034,2012-03-26,14.26
1035,2012-03-27,15.59
1036,2012-03-28,15.47
1037,2012-03-29,15.48
1038,2012-03-30,15.5
1039,2012-04-02,15.64
1040,2012-04-03,15.66
1041,2012-04-04,16.44
1042,2012-04-05,16.7
1043,2012-04-09,18.81
1044,2012-04-10,20.39
1045,2012-04-11,20.02
1046,2012-04-12,17.2
1047,2012-04-13,19.55
1048,2012-04-16,19.55
1049,2012-04-17,18.46
1050,2012-04-18,18.64
1051,2012-04-19,18.36
1052,2012-04-20,17.44
1053,2012-04-23,18.97
1054,2012-04-24,18.1
1055,2012-04-25,16.82
1056,2012-04-26,16.24
1057,2012-04-27,16.32
1058,2012-04-30,17.15
1059,2012-05-01,16.6
1060,2012-05-02,16.88
1061,2012-05-03,17.56
1062,2012-05-04,19.16
1063,2012-05-07,18.94
1064,2012-05-08,19.05
1065,2012-05-09,20.08
1066,2012-05-10,18.83
